CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
5,C,2011,0.495,2
5,C,2012,0.603,2
5,C,2013,0.74,2
5,C,2014,0.693,2
5,C,2015,0.633,2
5,C,2016,0.59,2
5,C,2017,0.388,2
5,C,2018,0.335,2
5,C,2019,0.434,2
6,C,2008,0.61,2
6,C,2009,0.587,2
6,C,2010,0.698,2
6,C,2011,0.783,2
6,C,2012,0.773,2
6,C,2013,0.647,2
6,C,2014,0.571,2
6,C,2015,0.56,2
6,C,2016,0.58,2
6,C,2017,0.568,2
6,C,2018,0.438,2
6,C,2019,0.5,2
7,C,2008,1,2
7,C,2009,1,2
7,C,2010,1,2
7,C,2011,0.841,2
7,C,2012,0.983,2
7,C,2013,1,2
7,C,2014,1,2
7,C,2015,1,2
7,C,2016,1,2
7,C,2017,0.644,2
7,C,2018,0.473,2
7,C,2019,0.518,2
8,C,2017,1,2
8,C,2018,1,2
8,C,2019,1,2
9,C,2008,0.769,2
9,C,2009,0.832,2
9,C,2010,0.967,2
9,C,2011,0.937,2
9,C,2012,0.781,2
9,C,2013,0.746,2
9,C,2014,0.717,2
9,C,2015,0.628,2
9,C,2016,0.722,2
9,C,2017,0.526,2
9,C,2018,0.474,2
9,C,2019,0.439,2
10,C,2008,0.629,2
10,C,2009,0.359,2
10,C,2010,0.334,2
10,C,2011,0.541,2
10,C,2012,0.708,2
10,C,2013,0.692,2
10,C,2014,0.596,2
10,C,2015,0.49,2
10,C,2016,0.588,2
10,C,2017,0.326,2
10,C,2018,0.229,2
10,C,2019,0.271,2
11,C,2008,0.684,2
11,C,2009,0.688,2
11,C,2010,0.671,2
11,C,2011,0.752,2
11,C,2012,0.753,2
11,C,2013,0.686,2
11,C,2014,0.532,2
11,C,2015,0.513,2
11,C,2016,0.69,2
11,C,2017,0.517,2
11,C,2018,0.539,2
11,C,2019,0.525,2
12,C,2008,0.694,2
12,C,2009,0.88,2
12,C,2010,0.976,2
12,C,2011,1,2
12,C,2012,0.916,2
12,C,2013,0.921,2
12,C,2014,0.916,2
12,C,2015,0.825,2
12,C,2016,0.884,2
12,C,2017,0.501,2
12,C,2018,0.573,2
12,C,2019,0.577,2
13,C,2008,0.305,2
13,C,2009,0.149,2
13,C,2010,0.305,2
13,C,2011,0.38,2
13,C,2012,0.506,2
13,C,2013,0.46,2
13,C,2014,0.441,2
13,C,2015,0.275,2
13,C,2016,0.378,2
13,C,2017,0.22,2
13,C,2018,0.104,2
13,C,2019,0.185,2
14,C,2008,0.129,2
14,C,2009,0.161,2
14,C,2010,0.298,2
14,C,2011,0.37,2
14,C,2012,0.283,2
14,C,2013,0.38,2
14,C,2014,0.329,2
14,C,2015,0.186,2
14,C,2016,0.068,2
14,C,2017,0.037,2
14,C,2018,0.006,2
14,C,2019,0.06,2
15,C,2008,0.704,2
15,C,2009,0.515,2
15,C,2010,0.459,2
15,C,2011,0.586,2
15,C,2012,0.665,2
15,C,2013,0.583,2
15,C,2014,0.649,2
15,C,2015,0.617,2
15,C,2016,0.625,2
15,C,2017,0.463,2
15,C,2018,0.393,2
15,C,2019,0.391,2
16,C,2008,0.758,2
16,C,2009,0.836,2
16,C,2010,0.891,2
16,C,2011,0.936,2
16,C,2012,1,2
16,C,2013,0.967,2
16,C,2014,0.902,2
