CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
17,I,2014,0.471,21
17,I,2015,0.461,21
17,I,2016,0.546,21
17,I,2017,0.544,21
17,I,2018,0.529,21
17,I,2019,0.534,21
17,I,2020,0.654,21
18,I,2009,0.352,21
18,I,2010,0.379,21
18,I,2011,0.087,21
18,I,2012,0.079,21
18,I,2013,0.024,21
18,I,2014,0,21
18,I,2015,0,21
18,I,2016,0,21
18,I,2017,0.064,21
18,I,2018,0.049,21
18,I,2019,0.034,21
18,I,2020,0.368,21
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
